country,avg_temperature,avg_latitude,avg_longitude
Saudi Arabien,45.0,24.64,46.77
Marrocos,40.3,31.63,-8.0
Turkménistan,37.8,37.7,65.37
Турция,34.0,39.55,27.62
Qatar,32.58065739570164,25.2872798988622,51.5327201011378
United Arab Emirates,32.37402269861286,24.46727843631778,54.367278436317775
Cambodia,32.05656565656565,11.55,104.91727916666667
Oman,31.893190416141234,23.612721563682218,58.59272156368222
Djibouti,31.42012658227848,11.595867088607596,43.14842949367088
Thailand,31.247507886435333,16.26795047318612,100.65008201892745
Bangladesh,31.24381313131313,23.72255984848485,90.40884393939395
Inde,31.2,28.6,77.2
Kuwait,31.071212121212124,29.367279166666666,47.960025252525256
Saudi Arabia,30.85681818181818,24.640660606060607,46.77231212121212
Myanmar,30.848549810844894,16.800189659520807,96.19490453972259
Malaysia,30.66439393939394,3.1672791666666664,101.70000000000002
Philippines,30.526388888888892,14.603468181818181,120.98181666666667
India,30.426675094816687,28.6,77.2
Sri Lanka,30.25094577553594,6.931569356872635,79.84818284993695
Singapore,30.00983606557377,1.2925566204287515,103.85653619167718
Sudan,29.950347881087918,13.870303162555345,28.49429006957622
Bahrain,29.819924337957126,26.236783606557378,50.582556620428754
火鸡,29.7,38.85,34.65
Brunei Darussalam,29.648293299620732,4.882724273072061,114.93272427307205
Chad,29.204659949622165,12.112557304785893,15.049340050377836
Iraq,29.0088161209068,33.338845088161214,44.393217254408064
Niger,28.959142496847413,13.58026292559899,1.977271500630517
Tuvalu,28.829003783102145,-8.517278436317781,134.95965
Seychelles Islands,28.821898734177214,-4.617276455696203,55.45
Pakistan,28.819721871049307,33.7,73.16727572692795
Somalia,28.728065739570166,2.067275726927939,45.36727572692794
Lao People's Democratic Republic,28.55,17.96835,102.6
Indonesia,28.482304785894208,-7.187906108312343,110.5648983627204
Palau,28.455625790139067,7.35206384323641,134.52205752212387
Marshall Islands,28.309583858764185,7.099999999999999,134.95965
Micronesia,28.3,6.917276455696203,134.95965
Benin,28.070959595959597,6.482724999999999,2.6172750000000002
Kiribati,28.05221238938053,-0.8827284450063211,134.95965
Maldives,27.949367088607595,6.7295336708860765,73.11951898734176
Burkina Faso,27.846784363177807,12.370247793190416,-1.5238820933165196
Saint-Vincent-et-les-Grenadines,27.8,13.13,-61.22
Polônia,27.7,53.33,21.62
Central African Republic,27.50618686868687,4.367275,18.582725
Solomon Islands,27.50201765447667,-9.432721563682218,134.95965
Mexique,27.4,27.42,-91.91355
Vietnam,27.34194065757819,20.720218283881316,105.55255437048916
Saint Vincent and the Grenadines,27.231898734177218,13.132723544303797,-61.2172764556962
Ghana,27.145465994962215,5.55,-0.21727770780856423
Togo,27.1,6.13095,1.2214
Grenada,27.080940279542567,12.05,-61.75
Saint Lucia,27.039015151515155,14.0,-61.0
Barbados,26.999747155499367,13.1,-59.6172798988622
Papua New Guinea,26.9078184110971,-9.46388209331652,134.95965
Jamaica,26.873037974683545,17.96143936708861,-76.8235029113924
Nigeria,26.843631778058008,9.176536191677176,7.180659773013871
