,random_forest_importance,permutation_importance
temp_lag_1,0.8433266509257094,0.8909052293599057
temp_rolling_7,0.1127730142845076,0.17175201022966613
humidity,0.015523577506011103,0.05227794625915797
pressure_mb,0.0062711589202898935,0.014779222394948666
temp_lag_7,0.005035251092526935,0.00805504090399197
wind_kph,0.004631602799136955,0.0010930346346557835
precip_mm,0.0010948478552670795,0.0006097865535170296
cos_day,0.004127490523175167,0.0005061591455841619
year,0.0006202492421296826,0.0
month,0.0002600474997404023,-2.183034524083638e-05
weekofyear,0.0009460929315889614,-3.7170216333833515e-05
dayofyear,0.0019302973802501017,-0.00012898732689770043
sin_day,0.0034597190396668067,-0.00018027581721447028
